,going out,gender,age,country,state,100 grand bar,mary janes,black jacks,bonkers,bottle caps,butterfinger,cadbury creme eggs,candy corn,caramellos,chick-o-sticks,chiclets,coffee crisp,dots,goo goo clusters,good & plenty,gummy bears,heath bar,hershey's dark chocolate,hershey's milk chocolate,hershey's kisses,jolly ranchers,almond joy,junior mints,kinder happy hippo,kit kat,laffy taffy,lemonhead,red licorice,black licorice,lindt truffle,lollipops,mars,maynards,mike & ike,milk duds,milky way,m&m's,peanut butter m&m's,hershey's mint kisses,mr good bar,necco wafers,nerds,crunch bar,now & later,peeps,pixie sticks,reese's peanut butter cup,reese's pieces,reggie jackson bar,rolos,skittles,american smarties,european smarties,snickers,sour patch kids,starburst,sweet tarts,swedish fish,sweetums (a friend to diabetes),take 5,tic tacs,3 musketeers,tolberone,trail mix,twix,york peppermint patties
0,No,Male,44,USA,NM,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,MEH,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR
1,No,Male,40,USA,OR,MEH,DESPAIR,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,MEH,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,MEH,JOY,MEH,JOY,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR
2,No,Male,40,CANADA,ON,JOY,DESPAIR,MEH,MEH,MEH,JOY,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,MEH,MEH,MEH,JOY,MEH,MEH,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,MEH,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR
3,No,Female,53,USA,WA,MEH,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,JOY,DESPAIR,MEH,MEH,MEH,JOY,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,JOY,MEH
4,No,Male,64,USA,NY,MEH,MEH,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,MEH,JOY,MEH,JOY,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,MEH,MEH
5,Yes,Male,43,USA,CALIFORNIA,JOY,DESPAIR,MEH,MEH,MEH,JOY,MEH,MEH,JOY,MEH,MEH,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,JOY,JOY,MEH,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,JOY,MEH,JOY,MEH,JOY,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY
6,No,Female,37,CANADA,ON,MEH,JOY,MEH,JOY,MEH,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,JOY,JOY,MEH,MEH,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,MEH,MEH,JOY,MEH,MEH,DESPAIR,MEH,JOY,MEH,DESPAIR,MEH,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY
7,No,OptOut,59,USA,NY,JOY,MEH,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,MEH
8,No,Male,48,USA,CO,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,MEH,JOY,JOY,JOY,MEH,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,JOY,MEH,JOY,JOY,DESPAIR,MEH,JOY,MEH,MEH,MEH,MEH,MEH,JOY,MEH,JOY,MEH
9,Yes,Male,33,CANADA,AB,MEH,DESPAIR,MEH,JOY,MEH,JOY,JOY,MEH,JOY,MEH,MEH,JOY,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,MEH,JOY,MEH,MEH,JOY,JOY,JOY,MEH,MEH,JOY,MEH,MEH,JOY,MEH,DESPAIR,JOY,JOY,MEH,MEH,JOY,JOY,MEH,JOY,JOY,MEH,MEH,MEH,JOY,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,JOY,MEH
