"goingout","gender","age","country","state","X100grandbar","maryjanes","blackjacks","bonkers","bottlecaps","butterfinger","cadburycremeeggs","candycorn","caramellos","chickosticks","chiclets","coffeecrisp","dots","googooclusters","goodplenty","gummybears","heathbar","hersheysdarkchocolate","hersheysmilkchocolate","hersheyskisses","jollyranchers","almondjoy","juniormints","kinderhappyhippo","kitkat","laffytaffy","lemonhead","redlicorice","blacklicorice","lindttruffle","lollipops","mars","maynards","mikeike","milkduds","milkyway","mms","peanutbuttermms","hersheysmintkisses","mrgoodbar","neccowafers","nerds","crunchbar","nowlater","peeps","pixiesticks","reesespeanutbuttercup","reesespieces","reggiejacksonbar","rolos","skittles","americansmarties","europeansmarties","snickers","sourpatchkids","starburst","sweettarts","swedishfish","sweetumsafriendtodiabetes","take5","tictacs","X3musketeers","tolberone","trailmix","twix","yorkpeppermintpatties"
"No","Male",44,"USA","NM","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","MEH","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR"
"No","Male",40,"USA","OR","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","MEH","JOY","DESPAIR","MEH","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","MEH","JOY","MEH","JOY","MEH","DESPAIR","JOY","MEH","JOY","DESPAIR"
"No","Male",40,"CANADA","ON","JOY","DESPAIR","MEH","MEH","MEH","JOY","MEH","DESPAIR","MEH","MEH","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","MEH","MEH","MEH","JOY","MEH","MEH","JOY","DESPAIR","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","JOY","DESPAIR"
"No","Female",53,"USA","WA","MEH","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","JOY","MEH","MEH","MEH","MEH","JOY","JOY","JOY","DESPAIR","MEH","MEH","MEH","JOY","MEH","MEH","DESPAIR","MEH","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","MEH","JOY","MEH"
"No","Male",64,"USA","NY","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","MEH","JOY","MEH","JOY","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","MEH","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","DESPAIR","JOY","JOY","MEH","JOY","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","MEH"
"Yes","Male",43,"USA","CALIFORNIA","JOY","DESPAIR","MEH","MEH","MEH","JOY","MEH","MEH","JOY","MEH","MEH","MEH","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","MEH","MEH","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","MEH","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","MEH","JOY","MEH","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","MEH","JOY","JOY","DESPAIR","JOY","JOY"
"No","Female",37,"CANADA","ON","MEH","JOY","MEH","JOY","MEH","JOY","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","MEH","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","JOY","MEH","MEH","MEH","DESPAIR","MEH","MEH","DESPAIR","MEH","MEH","MEH","JOY","MEH","MEH","JOY","MEH","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","MEH","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY"
"No","OptOut",59,"USA","NY","JOY","MEH","JOY","MEH","DESPAIR","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","MEH","JOY","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","MEH","MEH"
"No","Male",48,"USA","CO","MEH","DESPAIR","MEH","MEH","DESPAIR","MEH","JOY","DESPAIR","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","JOY","MEH","JOY","JOY","DESPAIR","MEH","JOY","MEH","MEH","MEH","MEH","MEH","JOY","MEH","JOY","MEH"
"Yes","Male",33,"CANADA","AB","MEH","DESPAIR","MEH","JOY","MEH","JOY","JOY","MEH","JOY","MEH","MEH","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","JOY","MEH","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","MEH","MEH","JOY","JOY","JOY","MEH","MEH","JOY","MEH","MEH","JOY","MEH","DESPAIR","JOY","JOY","MEH","MEH","JOY","JOY","MEH","JOY","JOY","MEH","MEH","MEH","JOY","DESPAIR","JOY","MEH","JOY","JOY","DESPAIR","JOY","MEH"
"No","Female",49,"USA","RI","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","DESPAIR","MEH","DESPAIR","JOY","MEH","MEH","JOY","MEH","MEH","DESPAIR","MEH","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","JOY","DESPAIR","MEH","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","JOY","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","DESPAIR","MEH","MEH","DESPAIR","JOY","DESPAIR"
"No","Male",35,"USA","MI","JOY","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","MEH","JOY","JOY","MEH","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","JOY","MEH","MEH","MEH","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","MEH","MEH","JOY","JOY","MEH","MEH","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY"
"No","Male",58,"USA","NJ","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR"
"No","Male",35,"USA","CO","JOY","MEH","MEH","MEH","JOY","JOY","JOY","MEH","JOY","JOY","MEH","MEH","MEH","MEH","JOY","MEH","JOY","MEH","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","DESPAIR","JOY","JOY"
"Yes","Male",50,"USA","CALIFORNIA","JOY","MEH","MEH","DESPAIR","MEH","JOY","JOY","JOY","JOY","DESPAIR","MEH","JOY","MEH","JOY","MEH","MEH","JOY","JOY","MEH","JOY","MEH","JOY","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","MEH","JOY","MEH","DESPAIR","JOY","JOY","JOY","MEH","MEH","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","MEH","JOY","JOY","MEH","JOY","JOY","JOY","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","JOY","JOY","DESPAIR","JOY","JOY"
"No","Female",33,"USA","MI","JOY","MEH","DESPAIR","MEH","JOY","JOY","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","JOY"
"No","Male",47,"USA","CA","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","MEH","DESPAIR","MEH","JOY","MEH","MEH","DESPAIR","MEH","JOY","JOY","MEH","JOY","JOY","JOY","MEH","JOY","JOY","MEH","JOY","MEH","MEH","JOY","MEH","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","DESPAIR","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","JOY","MEH","JOY","MEH","MEH","MEH","MEH","MEH","JOY","JOY","DESPAIR","JOY","JOY"
"No","Male",52,"USA","IL","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","MEH","MEH","JOY","MEH","JOY","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","MEH","MEH","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","MEH","MEH","JOY"
"No","Male",63,"USA","WI","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","MEH","MEH","JOY","MEH","JOY","DESPAIR","JOY","JOY","JOY","MEH","MEH","DESPAIR","JOY","DESPAIR","JOY","JOY","MEH","MEH","JOY","JOY","MEH","JOY","MEH","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","MEH","JOY","MEH","MEH","DESPAIR","JOY","JOY","MEH","JOY","MEH","MEH","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","MEH","MEH","MEH","JOY","JOY","MEH","JOY","JOY"
"No","Male",41,"USA","TX","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY"
"No","Male",44,"USA","DC","MEH","DESPAIR","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","MEH","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","MEH","JOY","MEH","MEH","MEH","JOY","MEH","JOY","JOY","JOY","JOY","JOY","MEH","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","MEH","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","JOY","MEH","MEH","MEH","JOY","MEH","JOY","MEH","MEH","MEH","JOY","MEH","JOY","JOY","MEH","JOY","JOY"
"","Male",31,"USA","MA","JOY","MEH","MEH","MEH","MEH","JOY","JOY","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","MEH","MEH","DESPAIR","JOY","MEH","JOY","MEH","JOY","MEH","JOY","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","JOY","MEH","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY","MEH","JOY","JOY"
